Bragg	Gap
24.330	6.05460
24.170	6.15045
24.010	6.14905
23.850	6.17725
23.690	6.25420
23.530	6.25385
23.370	6.29590
23.210	6.37190
23.050	6.38215
22.890	6.42905
22.730	6.44650
22.570	6.50220
22.410	6.56170
22.250	6.58250
22.090	6.62760
21.930	6.71265
21.770	6.70230
21.610	6.75825
21.450	6.81675
21.290	6.87965
21.130	6.91600
20.970	6.98010
20.810	7.00875
20.650	7.05325
20.490	7.08050
20.330	7.17125
20.170	7.21775
20.010	7.27970
19.850	7.27945
19.690	7.32770
19.530	7.42830
19.370	7.43745
19.210	7.49540
19.050	7.54850
18.890	7.63845
18.730	7.67840
18.570	7.70735
18.410	7.76140
18.250	7.82250
18.090	7.88485
17.930	7.95085
17.770	8.00285
