Bragg	Gap
16.970	6.12300
16.860	6.19635
16.750	6.21435
16.640	6.24165
16.530	6.27190
16.420	6.32345
16.310	6.32755
16.200	6.40070
16.090	6.42360
15.980	6.46195
15.870	6.50085
15.760	6.57910
15.650	6.61555
15.540	6.64975
15.430	6.68145
15.320	6.76140
15.210	6.75475
15.100	6.85350
14.990	6.84215
14.880	6.90280
14.770	6.94895
14.660	7.03475
14.550	7.06980
14.440	7.11735
14.330	7.16255
14.220	7.21170
14.110	7.24395
14.000	7.30690
13.890	7.34080
13.780	7.40240
13.670	7.46175
13.560	7.54285
13.450	7.58590
13.340	7.65335
13.230	7.70380
13.120	7.73380
13.010	7.77980
12.900	7.84435
12.790	7.92515
12.680	7.97925
