Bragg	Gap	
56000	4.9962	
55500	5.02715	0.03095
55000	5.06585	0.0387
54500	5.0966	0.03075
54000	5.13095	0.03435
53500	5.1664	0.03545
53000	5.1998	0.0334
52500	5.23975	0.03995
52000	5.281	0.04125
51500	5.31975	0.03875
51000	5.3596	0.03985
50500	5.4004	0.0408
50000	5.436	0.0356
49500	5.4814	0.0454
49000	5.5278	0.0464
48500	5.5663	0.0385
48000	5.60815	0.04185
47500	5.66045	0.0523
47000	5.7105	0.05005
46500	5.7555	0.045
45800	5.82405	0.06855
45100	5.89415	0.0701
44400	5.9672	0.07305
43700	6.04105	0.07385
43000	6.12085	0.0798
42300	6.2004	0.07955
41600	6.286	0.0856
40900	6.36835	0.08235
