Bragg	Gap
72000	12.34365
71500	12.39465
71000	12.41740
70500	12.45735
70000	12.49020
69500	12.53735
69000	12.56575
68500	12.60530
68000	12.65615
67500	12.71490
67000	12.75520
66500	12.80340
66000	12.85675
65500	12.90345
65000	12.96735
64500	13.00640
64000	13.07755
63500	13.13900
63000	13.19665
62500	13.26220
62000	13.32715
61500	13.40040
61000	13.45475
60500	13.52600
60000	13.62065
59500	13.67565
59000	13.76560
58500	13.85170
58000	13.93710
57500	14.01885
57000	14.11450
56500	14.21865
56000	14.31585
55500	14.41200
55000	14.50755
54500	14.61420
54000	14.72325
