Bragg	Gap	Bragg^2
8.9	6.2241	79.21
8.85	6.25825	78.3225
8.8	6.2922	77.44
8.75	6.3259	76.5625
8.7	6.3595	75.69
8.65	6.396	74.8225
8.6	6.43215	73.96
8.55	6.46645	73.1025
8.5	6.50185	72.25
8.45	6.54055	71.4025
8.4	6.58005	70.56
8.35	6.61675	69.7225
8.3	6.652554	68.89
8.25	6.6918125	68.0625
8.2	6.731584	67.24
8.15	6.7718685	66.4225
8.1	6.812666	65.61
8.05	6.8539765	64.8025
8	6.8958	64
7.95	6.9381365	63.2025
7.9	6.980986	62.41
7.85	7.0243485	61.6225
7.8	7.068224	60.84
7.75	7.1126125	60.0625
7.7	7.157514	59.29
7.65	7.2029285	58.5225
