# bragg	idgap
Units	Deg	mm
13.500 5.98600
13.141 6.12614
13.100 6.13743
13.090 6.14185
13.080 6.14628
13.070 6.15072
13.060 6.15517
13.050 6.15962
13.040 6.16408
13.030 6.16855
13.020 6.17302
13.010 6.17751
13.000 6.18200
12.990 6.18649
12.980 6.19100
12.970 6.19551
12.960 6.20003
12.950 6.20455
12.940 6.20909
12.930 6.21363
12.920 6.21818
12.910 6.22273
12.900 6.22730
12.890 6.23187
12.880 6.23645
12.870 6.24103
12.860 6.24562
12.850 6.25022
12.840 6.25483
12.830 6.25944
12.820 6.26407
12.810 6.26870
12.800 6.27333
12.790 6.27798
12.780 6.28263
12.770 6.28728
12.760 6.29195
12.750 6.29663
12.740 6.30131
12.730 6.30599
12.720 6.31069
12.710 6.31539
12.700 6.32010
12.690 6.32482
12.680 6.32954
12.670 6.33428
12.660 6.33901
12.650 6.34376
12.640 6.34851
12.630 6.35328
12.620 6.35804
12.610 6.36282
12.600 6.36761
12.590 6.37240
12.580 6.37719
12.570 6.38200
12.560 6.38681
12.550 6.39163
12.540 6.39646
12.530 6.40129
12.520 6.40614
12.510 6.41099
12.500 6.41584
12.490 6.42071
12.480 6.42558
12.470 6.43046
12.460 6.43534
12.450 6.44024
12.440 6.44514
12.430 6.45004
12.420 6.45496
12.410 6.45988
12.400 6.46481
12.390 6.46975
12.380 6.47470
12.370 6.47965
12.360 6.48461
12.350 6.48957
12.340 6.49455
12.330 6.49953
12.320 6.50452
12.310 6.50951
12.300 6.51452
12.290 6.51953
12.280 6.52455
12.270 6.52957
12.260 6.53460
12.250 6.53964
12.240 6.54469
12.230 6.54975
12.220 6.55481
12.210 6.55988
12.200 6.56495
12.190 6.57004
12.180 6.57513
12.170 6.58023
12.160 6.58534
12.150 6.59080
12.140 6.59579
12.130 6.60079
12.120 6.60580
12.110 6.61082
12.100 6.61585
12.090 6.62088
12.080 6.62593
12.070 6.63098
12.060 6.63604
12.050 6.64111
12.040 6.64618
12.030 6.65127
12.020 6.65636
12.010 6.66146
12.000 6.69762
11.990 6.70280
11.980 6.70797
11.970 6.71316
11.960 6.71835
11.950 6.72355
11.940 6.72875
11.930 6.73396
11.920 6.73917
11.910 6.74440
11.900 6.74963
11.890 6.75487
11.880 6.76011
11.870 6.76536
11.860 6.77061
11.850 6.77588
11.840 6.78115
11.830 6.78642
11.820 6.79171
11.810 6.79699
11.800 6.80229
11.790 6.80759
11.780 6.81290
11.770 6.81821
11.760 6.82354
11.750 6.82887
11.740 6.83420
11.730 6.83954
11.720 6.84489
11.710 6.85024
11.700 6.85561
11.690 6.86097
11.680 6.86635
11.670 6.87173
11.660 6.87712
11.650 6.88251
11.640 6.88791
11.630 6.89331
11.620 6.89873
11.610 6.90415
11.600 6.90957
11.590 6.91501
11.580 6.92045
11.570 6.92589
11.560 6.93135
11.550 6.93681
11.540 6.94227
11.530 6.94774
11.520 6.95322
11.510 6.95871
11.500 6.96420
11.490 6.96970
11.480 6.97520
11.470 6.98072
11.460 6.98623
11.450 6.99176
11.440 6.99729
11.430 7.00283
11.420 7.00837
11.410 7.01392
11.400 7.01948
11.390 7.02504
11.380 7.03062
11.370 7.03619
11.360 7.04178
11.350 7.04737
11.340 7.05296
11.330 7.05857
11.320 7.06418
11.310 7.06979
11.300 7.07542
11.290 7.08105
11.280 7.08668
11.270 7.09233
11.260 7.09797
11.250 7.10363
11.240 7.10929
11.230 7.11496
11.220 7.12064
11.210 7.12632
11.200 7.13201
11.190 7.13770
11.180 7.14340
11.170 7.14911
11.160 7.15483
11.150 7.16055
11.140 7.16628
11.130 7.17201
11.120 7.17775
11.110 7.18350
11.100 7.18925
11.050 7.19282
11.040 7.19875
11.030 7.20469
11.020 7.21064
11.000 7.22019
10.990 7.24052
10.980 7.24641
10.970 7.25231
10.950 7.25642
10.940 7.26240
10.930 7.26838
10.920 7.27437
10.910 7.28037
10.900 7.28638
10.890 7.29239
10.880 7.29841
10.870 7.30444
10.860 7.31047
10.850 7.31652
10.840 7.32257
10.830 7.32862
10.820 7.33469
10.810 7.34076
10.800 7.34684
10.790 7.35205
10.780 7.35815
10.770 7.36426
10.760 7.37038
10.750 7.37651
10.740 7.38266
10.730 7.38882
10.720 7.39498
10.710 7.40116
10.700 7.40735
10.690 7.41356
10.680 7.41977
10.670 7.42599
10.660 7.43223
10.650 7.43847
10.640 7.44473
10.630 7.45100
10.620 7.45728
10.610 7.46358
10.600 7.46988
10.590 7.47619
10.580 7.48252
10.570 7.48886
10.560 7.49521
10.550 7.50157
10.540 7.50794
10.530 7.51432
10.520 7.52072
10.510 7.52712
10.500 7.53354
10.490 7.53997
10.480 7.54641
10.470 7.55286
10.460 7.55932
10.450 7.56580
10.440 7.57228
10.430 7.57878
10.420 7.58529
10.410 7.59181
10.400 7.59834
10.390 7.60488
10.380 7.61143
10.370 7.61800
10.360 7.62457
10.350 7.63116
10.340 7.63776
10.330 7.64437
10.320 7.65099
10.310 7.65762
10.300 7.66427
10.290 7.67092
10.280 7.67759
10.270 7.68427
10.260 7.69096
10.250 7.69766
10.240 7.70437
10.230 7.71109
10.220 7.71783
10.210 7.72457
10.155 7.76274
10.100 7.79981
8.000 9.57300
