Bragg	Gap
32.500	7.63790
32.300	7.68490
32.100	7.71745
31.900	7.75925
31.700	7.79555
31.500	7.83530
31.300	7.87855
31.100	7.91920
30.900	7.96325
30.700	7.99890
30.500	8.04415
30.300	8.08635
30.100	8.13230
29.900	8.17275
29.700	8.21685
29.500	8.26155
29.300	8.31300
29.100	8.35910
28.900	8.40260
28.700	8.45285
28.500	8.49770
28.300	8.54325
28.100	8.59840
27.900	8.64215
27.700	8.69565
27.500	8.74670
27.300	8.79840
27.100	8.85070
26.900	8.90360
26.700	8.95720
26.500	9.00845
26.300	9.06330
26.100	9.12165
25.900	9.17985
